treatment_group,control_group,bias,ess,elapsed,cpu_time
152909102,090905101,0.103608076292741,0.3333333333333333,0.049999999999954525,0.049999999999954525
152909102,091903103,0.29089868243681893,0.025,0.06100000000003547,0.06100000000003547
152909102,091906108,0.04000151420018082,0.02040816326530612,0.07100000000002638,0.07099999999993623
152909102,092902101,0.46339609848911784,0.008064516129032258,0.1369999999999436,0.1370000000000573
152909102,092903123,0.30126727425853794,0.0136986301369863,0.07100000000002638,0.06999999999993634
152909102,092906102,0.21781691231697686,0.009259259259259259,0.07799999999997453,0.07799999999997453
152909102,094902102,0.5887686955013579,0.008064516129032258,0.10099999999999909,0.10099999999999909
152909102,095905106,0.08885030831556869,0.02631578947368421,0.06200000000001182,0.06200000000001182
152909102,097902102,0.04803212973658042,0.017857142857142856,0.06500000000005457,0.06399999999998807
152909102,099903102,0.018473958444124368,0.02857142857142857,0.05899999999996908,0.059000000000082764
152909102,100903042,0.19577528018117135,0.012048192771084338,0.07200000000000273,0.07099999999991269
152909102,101814101,0.5375669934627254,0.015873015873015872,0.07399999999995543,0.07500000000004547
152909102,101846006,0.25097805464037265,0.014285714285714285,0.07000000000005002,0.06899999999995998
152909102,101849101,0.10734323890877771,0.047619047619047616,0.053999999999973625,0.05400000000008731
152909102,101902105,1.509641457225583,0.008064516129032258,0.09600000000000364,0.0949999999999136
152909102,101902119,0.2571349502033981,0.011111111111111112,0.2400000000000091,0.23900000000003274
152909102,101902142,0.4179770276536088,0.015151515151515152,0.06600000000003092,0.06600000000003092
152909102,101903103,0.4716765742083547,0.008064516129032258,0.08399999999994634,0.08299999999996999
152909102,101903114,0.20343967693633125,0.010309278350515464,0.07500000000004547,0.07500000000004547
152909102,101905102,0.781005653729271,0.010309278350515464,0.07699999999999818,0.07699999999999818
152909102,101905105,0.8866625333255186,0.012345679012345678,0.07699999999999818,0.07699999999999818
152909102,101906106,0.5326045569658557,0.008130081300813009,0.08399999999994634,0.08299999999996999
